,occurrences_across_networks,interaction_types,networks_with_the_edge
Eisenbergiella-Riboflavin,1,{'co-occurrence'},{'day14'}
Total_removed_abd-L-Tryptophan,1,{'co-exclusion'},{'day14'}
L-Aspartic Acid-L-Arginine,1,{'co-occurrence'},{'day14'}
L-Valine-L-Histidine,1,{'co-occurrence'},{'day14'}
Dysosmobacter-L-Methionine,1,{'co-exclusion'},{'day14'}
L-Asparagine-L-Glutamine,1,{'co-occurrence'},{'day14'}
Klebsiella-Eisenbergiella,1,"{'cooperation', 'competition', 'co-occurrence'}",{'day14'}
Agathobaculum-Ornithomonoglobus,1,"{'competition', 'co-exclusion'}",{'day14'}
UBA4716-An181,1,"{'competition', 'co-occurrence'}",{'day21'}
Acutalibacter-Borkfalkia,1,"{'competition', 'co-occurrence'}",{'day21'}
Mediterraneibacter-Clostridium_AQ,1,"{'cooperation', 'competition', 'co-exclusion'}",{'day21'}
Gemmiger-Massilimicrobiota,1,"{'competition', 'co-occurrence'}",{'day21'}
Roslinia-Harrysmithimonas,1,"{'cooperation', 'competition', 'co-occurrence'}",{'day21'}
Agathobaculum-Harrysmithimonas,1,"{'cooperation', 'competition', 'co-exclusion'}",{'day21'}
Coprocola-Romboutsia,1,"{'cooperation', 'competition', 'co-occurrence'}",{'day21'}
Lawsonibacter-Romboutsia,1,"{'cooperation', 'competition', 'co-occurrence'}",{'day21'}
Coproplasma-Spyradocola,1,"{'cooperation', 'competition', 'co-occurrence'}",{'day21'}
Enterocloster-Spyradocola,1,"{'competition', 'co-occurrence'}",{'day21'}
Merdivicinus-Spyradocola,1,"{'competition', 'co-occurrence'}",{'day21'}
Lawsonibacter-Spyradocola,1,"{'competition', 'co-occurrence'}",{'day28'}
Faeciplasma-Coproplasma,1,"{'cooperation', 'competition', 'co-occurrence'}",{'day21'}
Heteroclostridium-Borkfalkia,1,"{'competition', 'co-occurrence'}",{'day21'}
Gemmiger-Borkfalkia,1,"{'competition', 'co-occurrence'}",{'day21'}
unclassified_Acutalibacteraceae-Borkfalkia,1,"{'cooperation', 'competition', 'co-exclusion'}",{'day21'}
Choladocola-Lactobacillus,1,"{'cooperation', 'competition', 'co-occurrence'}",{'day21'}
Pseudobutyricicoccus-Heteroclostridium,1,"{'cooperation', 'competition', 'co-occurrence'}",{'day21'}
Dysosmobacter-Anaerostipes,1,"{'cooperation', 'competition', 'co-exclusion'}",{'day21'}
Blautia-Anaerobutyricum,1,"{'competition', 'co-occurrence'}",{'day21'}
Flavonifractor-Anaerobutyricum,1,"{'cooperation', 'competition', 'co-exclusion'}",{'day21'}
Acutalibacter-Hungatella_B,1,"{'cooperation', 'competition', 'co-exclusion'}",{'day21'}
Lawsonibacter-Hungatella_B,1,"{'cooperation', 'competition', 'co-occurrence'}",{'day21'}
unclassified_Acutalibacteraceae-Mediterraneibacter,1,"{'competition', 'co-occurrence'}",{'day21'}
Choladocola-Pullilachnospira,1,"{'competition', 'co-exclusion'}",{'day21'}
Enterocloster-Enterocloster,1,"{'competition', 'co-occurrence'}",{'day21'}
Gemmiger-Mediterraneibacter,1,"{'competition', 'co-occurrence'}",{'day21'}
Lawsonibacter-Copromonas,1,"{'cooperation', 'competition', 'co-occurrence'}",{'day21'}
Acutalibacter-Lachnoclostridium_A,1,"{'competition', 'co-exclusion'}",{'day21'}
Mediterraneibacter-An181,1,"{'competition', 'co-occurrence'}",{'day21'}
Borkfalkia-Merdibacter,1,"{'competition', 'co-occurrence'}",{'day21'}
Anaerostipes-Lactobacillus,1,"{'cooperation', 'competition', 'co-occurrence'}",{'day21'}
Gallacutalibacter-Negativibacillus,1,"{'competition', 'co-exclusion'}",{'day14'}
Acutalibacter-Niacinamide,1,{'co-occurrence'},{'day21'}
Flavonifractor-Acutalibacter,1,"{'cooperation', 'competition', 'co-exclusion'}",{'day14'}
Onthovicinus-Thiamine,1,{'co-occurrence'},{'day21'}
L-Leucine-L-Tryptophan,1,{'co-occurrence'},{'day21'}
Mediterraneibacter-L-Tyrosine,1,{'co-exclusion'},{'day21'}
Eisenbergiella-L-Tyrosine,1,{'co-occurrence'},{'day21'}
Mediterraneibacter-Pyridoxamine,1,{'co-occurrence'},{'day21'}
L-Lysine-L-Phenylalanine,1,{'co-occurrence'},{'day21'}
Mediterraneibacter-L-Histidine,1,{'co-occurrence'},{'day21'}
Lachnoclostridium_B-L-Methionine,1,{'co-exclusion'},{'day21'}
L-Glutamic acid-L-Lysine,1,{'co-occurrence'},{'day21'}
Alistipes-L-Glutamine,1,{'co-exclusion'},{'day21'}
Ornithomonoglobus-L-Aspartic Acid,1,{'co-occurrence'},{'day21'}
